"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","sig"
"KIF26B",0.0381230303568012,5.34442913406978,0.590863179687303,0.556153919379665,0.673804751199196,-6.54007285204711,"Not Sig"
"VRTN",-0.0413534087781597,6.32944179523462,-0.590739792240702,0.55623622663041,0.673868086025255,-6.54014523100252,"Not Sig"
"FABP6",-0.0803809184385074,4.72017506287703,-0.590462015864448,0.556421543206997,0.674056200832577,-6.54030811948351,"Not Sig"
"ADAM18",-0.0159876038771936,3.6596847047964,-0.590392744252329,0.556467762052369,0.674075799648732,-6.54034872862257,"Not Sig"
"LINC01398",-0.021941574357057,4.03635434702823,-0.590288730527224,0.556537164826341,0.674123478625547,-6.54040969577646,"Not Sig"
"SRRM1",-0.0313743012161734,10.0293339692365,-0.59001807210713,0.556717780777707,0.674305855709326,-6.54056829099775,"Not Sig"
"PPIC",-0.0533043808599665,10.5495321221155,-0.589647117380574,0.556965373734849,0.674569332392524,-6.54078553872388,"Not Sig"
"TEX41",-0.017675615464392,4.03575947661865,-0.58959896577227,0.556997516427092,0.674571851851658,-6.54081372852821,"Not Sig"
"ASMTL",-0.0533344145581935,8.24086283834909,-0.58944143627463,0.557102678677308,0.674662799225005,-6.54090593640293,"Not Sig"
"RAB8A",-0.0348461745699158,10.7124420164559,-0.589319632713619,0.557183998044537,0.6747248641188,-6.54097721580404,"Not Sig"
"CRABP1",-0.0424950297390385,5.29910788735553,-0.589190825065798,0.557269999928765,0.674760125692618,-6.54105257809857,"Not Sig"
"MIR935",-0.0323545708399995,3.98111867982013,-0.589163866316042,0.557288000494063,0.674760125692618,-6.54106834895475,"Not Sig"
"SLC5A12",-0.0143815498537494,3.36061335979815,-0.589140909076798,0.557303329447002,0.674760125692618,-6.54108177836482,"Not Sig"
"TSGA13",0.0328316760640286,4.21704118440745,0.588693227648862,0.557602295967896,0.675085676012929,-6.54134355703678,"Not Sig"
"MED14OS",-0.0346502978593355,5.41932272137279,-0.58864128296083,0.557636990336201,0.675091255794659,-6.54137391855995,"Not Sig"
"PCDHB9",0.0275676782313701,4.47772334881044,0.58833405084307,0.557842215545353,0.675303273339564,-6.54155344052258,"Not Sig"
"NDUFAF8",-0.0309151503305287,7.37969516403687,-0.588184683612326,0.557942003517903,0.675387636453483,-6.54164068524235,"Not Sig"
"FGF21",0.0310876100818867,5.76833916225669,0.5880847983406,0.558008738938346,0.675431982578355,-6.5416990155148,"Not Sig"
"SLC31A1",0.0448996922261173,7.67521660155437,0.587953587357276,0.558096409718039,0.675501663394092,-6.54177562421564,"Not Sig"
"OR52A1",-0.0287517873023946,4.07753374914715,-0.587879374127151,0.558145999527419,0.675525247216599,-6.5418189467633,"Not Sig"
"PTPN20",0.109966459075034,3.80759569893807,0.58778882941199,0.558206505103731,0.675562039157684,-6.54187179559541,"Not Sig"
"CEPT1",0.0285073234234066,6.10413960020264,0.587503623295867,0.558397112367117,0.675735091953679,-6.54203821095884,"Not Sig"
"NLRP9",-0.0295367979622982,4.49715469120233,-0.587484753292886,0.558409724590983,0.675735091953679,-6.54204921862075,"Not Sig"
"TEX46",0.0233778288552817,3.46424530896797,0.587401164803707,0.558465594677847,0.675766257494403,-6.5420979750647,"Not Sig"
"KCNK4-CATSPERZ",-0.0218398598018172,5.44615953101602,-0.587124146678179,0.558650771827961,0.675891574286848,-6.54225950815087,"Not Sig"
"CHL1",0.0722738986024547,5.22285555123638,0.587120461271628,0.558653235600873,0.675891574286848,-6.54226165665275,"Not Sig"
"RN7SKP150",-0.0250824005365091,4.30505809708006,-0.587111056927137,0.55865952263016,0.675891574286848,-6.54226713909497,"Not Sig"
"LRRC32-AS1",0.0274089231114294,4.97101826534295,0.586638774526977,0.55897529968851,0.676129882272266,-6.5425423531058,"Not Sig"
"PAX4",-0.0278249757786027,4.43954893926421,-0.586614228795234,0.558991713845355,0.676129882272266,-6.54255665068047,"Not Sig"
"GTDC1-AS1",0.0196997927877551,3.34673122097593,0.586584878989052,0.559011340882766,0.676129882272266,-6.54257374578803,"Not Sig"
"ATP2A1-AS1",0.0461001077232632,5.56098964559034,0.586568714231217,0.559022150854459,0.676129882272266,-6.54258316076125,"Not Sig"
"MIR205HG",-0.0200917105690275,4.03291393506924,-0.58654723813421,0.559036512874933,0.676129882272266,-6.54259566886344,"Not Sig"
"LARP1",-0.0211806304885043,7.92472796764268,-0.586546079042458,0.559037288016282,0.676129882272266,-6.5425963439284,"Not Sig"
"AKR1C6P",0.0260360826080674,5.07526990953363,0.586443030299853,0.559106203872855,0.67617678714579,-6.54265635510999,"Not Sig"
"TBC1D24",0.055776669013917,6.69072269390107,0.586234714934687,0.559245531651801,0.67630883776528,-6.54277763712831,"Not Sig"
"CLXN",0.0153581773190545,4.27999995645795,0.586068555502532,0.55935667652659,0.676406793736806,-6.54287434515429,"Not Sig"
"CHRNA2",-0.0341108915475026,6.53854202068607,-0.585850960136352,0.559502243646743,0.676485740863042,-6.54300094877129,"Not Sig"
"MIOS-DT",-0.0788746028682317,4.45337156830766,-0.585845783959619,0.559505706637254,0.676485740863042,-6.54300395986081,"Not Sig"
"NPAS2",-0.0472224942140143,6.75795921240533,-0.585829736364136,0.559516442943577,0.676485740863042,-6.54301329491267,"Not Sig"
"ODAD1",-0.0377524442336483,4.81352304796548,-0.585790709960494,0.559542553162711,0.676485740863042,-6.54303599591578,"Not Sig"
"PIGF",-0.0387334983296892,9.79193597626721,-0.585682657045629,0.559614848006143,0.676536693842457,-6.54309884065348,"Not Sig"
"PRSS12",-0.103958677134623,6.38393703702709,-0.585474882731429,0.559753876289608,0.676668313223926,-6.54321965211176,"Not Sig"
"LCN1",0.0445650049521413,5.07725196612781,0.585264883030259,0.559894410965201,0.676801739355068,-6.54334171432461,"Not Sig"
"SLC7A13",-0.020773847273349,3.57180706298447,-0.58500656374666,0.560067305638677,0.676974265849293,-6.54349180268739,"Not Sig"
"LRRIQ1",0.023754229353389,3.44662532595872,0.58494407694114,0.560109132393927,0.67698835560395,-6.54352809882387,"Not Sig"
"LIPA",-0.026584088745345,6.43046837673102,-0.584666400393392,0.560295019207633,0.677176555854792,-6.54368934372785,"Not Sig"
"TRIM65",-0.0306508668242094,7.07264009877766,-0.584353853939184,0.56050428558637,0.677392991020227,-6.5438707464963,"Not Sig"
"INSIG1-DT",0.0501803430845991,5.75097299712931,0.58423922837479,0.560581043116371,0.677449268983641,-6.54393725135335,"Not Sig"
"DBTP1",-0.0895545387713979,5.38444552340656,-0.584189939174627,0.560614050585702,0.677452672792965,-6.54396584458305,"Not Sig"
"KRT76",0.0317717540074423,4.68861428212664,0.584026528941567,0.560723488269379,0.67751286763697,-6.54406062361239,"Not Sig"
"STAG3",-0.0651578753367792,6.57283500557494,-0.584012323489979,0.560733002318411,0.67751286763697,-6.54406886162673,"Not Sig"
"CDK5RAP2",-0.0223129925826679,6.11329560254644,-0.583966139415666,0.560763934482162,0.67751286763697,-6.54409564328516,"Not Sig"
"E2F8",0.103359274883462,7.72555643871182,0.583935228286373,0.56078463793491,0.67751286763697,-6.54411356714983,"Not Sig"
"IRGC",0.0244889661497725,4.53361104622538,0.583824404913249,0.560858867579315,0.677566067062144,-6.54417782051246,"Not Sig"
"LINC02179",0.0280228453507316,4.02505254800216,0.58339814570551,0.561144421668659,0.677874545239464,-6.54442484503706,"Not Sig"
"RIBC2",0.0611411434887081,5.42789677896824,0.583205879305947,0.561273245723928,0.677993667140354,-6.54453620814065,"Not Sig"
"VPS45",-0.0392936816775915,8.97433399412209,-0.582997598218196,0.561412816508867,0.678104224461886,-6.54465680606052,"Not Sig"
"CERS3",0.0199432658548657,4.47991062597572,0.582979105020002,0.561425209771065,0.678104224461886,-6.54466751183809,"Not Sig"
"KRT25",-0.0257293296549346,3.61089040954151,-0.582693196851828,0.561616828960823,0.6782991563083,-6.54483298221643,"Not Sig"
"BMAL2-AS1",0.0166762199941637,3.21810568649846,0.582486305248188,0.561755510334102,0.678430134358822,-6.54495267125531,"Not Sig"
"FAM47A",0.022693379042475,3.64648896556421,0.582334172829883,0.561857496859246,0.678494775890866,-6.5450406546077,"Not Sig"
"PWWP3B",-0.062729405988514,4.08085792750511,-0.582316254442967,0.56186950958617,0.678494775890866,-6.5450510159195,"Not Sig"
"KDELR1",0.0416290235367924,10.1571520940345,0.581870921291294,0.562168107473926,0.67881882169765,-6.54530842831059,"Not Sig"
"KCNH5",0.0113536343476719,3.61405546162061,0.581812505191043,0.562207281518532,0.678829594812437,-6.54534217961098,"Not Sig"
"LINC00612",-0.0201703166426102,4.20990978691971,-0.581681021233418,0.562295460036249,0.67889953337387,-6.54541813531618,"Not Sig"
"SLITRK2",-0.019038459324908,4.28665223777171,-0.581396595820572,0.562486230595778,0.67909332445597,-6.54558238403265,"Not Sig"
"USP36",-0.0323009689583493,6.32439750869475,-0.581237374443071,0.562593037855787,0.679185730695971,-6.54567429568721,"Not Sig"
"ZFHX4",-0.0531312902267684,4.47247845864631,-0.580721287848675,0.562939302255617,0.679567194066806,-6.54597203861011,"Not Sig"
"FAM168A",0.0483428900076426,6.98169064536862,0.580362601290011,0.563180021897988,0.679821212080745,-6.54617881905826,"Not Sig"
