"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","sig"
"CDKN1C",1.07438294008212,7.0927052953396,6.82889380861567,1.12945785702165e-09,1.45906187989112e-08,11.5733033910993,"Up"
"WDR74",-0.345993199481828,7.03490891268235,-6.82755875069627,1.13630206368241e-09,1.46705880362311e-08,11.5673688436657,"Not Sig"
"ZNF254",-0.384819681605299,4.89958802788308,-6.82667993822233,1.14082974513561e-09,1.47145820350123e-08,11.5634625661125,"Not Sig"
"MIR4723",-0.39883822885573,7.91424450770654,-6.82664287049781,1.1410211123901e-09,1.47145820350123e-08,11.5632978051651,"Not Sig"
"CBX3",0.697866864338534,8.3975142401309,6.82433010095527,1.15302426451531e-09,1.48608336998616e-08,11.5530183804452,"Not Sig"
"SIK1",0.916856739229941,7.48787050810198,6.82341487447658,1.15780874265225e-09,1.49139324778266e-08,11.5489508115384,"Not Sig"
"LINC02574",0.848007630003168,7.38580455336417,6.82313846351482,1.15925758725698e-09,1.49182152409794e-08,11.5477223813462,"Not Sig"
"MMP9",1.93548713207386,9.33178454673585,6.82309779781334,1.15947089354552e-09,1.49182152409794e-08,11.5475416553914,"Up"
"MYO18B",-0.330970098894475,4.25947925785777,-6.82105906851588,1.17021479432372e-09,1.50478222176676e-08,11.538481567709,"Not Sig"
"TINAG",-1.29972454668589,7.61683796845792,-6.81667996929369,1.19362707047483e-09,1.53400903977002e-08,11.519023594656,"Down"
"ATP5PO",-0.425905760803108,12.5685964134257,-6.8146833983668,1.20445504426759e-09,1.54703873716774e-08,11.5101533045922,"Not Sig"
"COX17",0.337600083261244,7.86347902982275,6.81440972839013,1.2059468040978e-09,1.54806866917337e-08,11.5089375135595,"Not Sig"
"MMP23A",0.516837298745527,5.03939670051623,6.81231621996604,1.21741917039433e-09,1.56100964368448e-08,11.4996374853372,"Not Sig"
"MMP23B",0.516837298745527,5.03939670051623,6.81231621996604,1.21741917039433e-09,1.56100964368448e-08,11.4996374853372,"Not Sig"
"FAM89A",1.25103223844427,7.47530374111122,6.81143774415237,1.22226536145916e-09,1.56543450033002e-08,11.4957352681437,"Up"
"MIR1182",1.25103223844427,7.47530374111122,6.81143774415237,1.22226536145916e-09,1.56543450033002e-08,11.4957352681437,"Up"
"MAEA",-0.386221387285543,10.0741818329305,-6.80945934950167,1.23324950638988e-09,1.57860157865844e-08,11.486947720579,"Not Sig"
"CPT1B",0.984832184322772,6.4550893569264,6.80912433471939,1.23511919012597e-09,1.58009347247643e-08,11.4854597410457,"Not Sig"
"NCOA4",-0.425858436068159,12.4692420540937,-6.80702607138545,1.24689347431089e-09,1.59424744558758e-08,11.4761407250267,"Not Sig"
"HCCS",-0.475217618377764,9.47309685507277,-6.80066056895463,1.28329827799387e-09,1.63985934281917e-08,11.4478748204601,"Not Sig"
"SH3BGRL2",-0.548279638591916,6.94992161819189,-6.79867283985509,1.29488070069387e-09,1.65371815838757e-08,11.4390499486937,"Not Sig"
"SPATA46",-0.373479243281792,4.81197256869547,-6.7960684554702,1.31021333298535e-09,1.67234795101583e-08,11.4274884863197,"Not Sig"
"IFT20",0.48616609441901,10.334017216206,6.79513789244931,1.31573531141524e-09,1.67844142426643e-08,11.4233578216622,"Not Sig"
"METAP1",-0.372871329744283,10.0803306019138,-6.7945834876193,1.31903612099854e-09,1.68169610903899e-08,11.4208969608353,"Not Sig"
"LUM",1.43521424113587,9.90721929663428,6.79391548825301,1.3230241547905e-09,1.684964942128e-08,11.4179319622817,"Up"
"PMEPA1",1.28973050292235,9.08914654330538,6.79390249504891,1.32310184412386e-09,1.684964942128e-08,11.417874291183,"Up"
"TSR3",0.291432680337314,8.38589718895799,6.79331799020308,1.32660141385448e-09,1.68807744297248e-08,11.4152799660577,"Not Sig"
"LILRB2",1.43152409484809,6.8727547465187,6.79324309422467,1.32705049663686e-09,1.68807744297248e-08,11.4149475450083,"Up"
"PLD5P1",1.09113552261086,5.7823403086652,6.79266373328043,1.33052949094485e-09,1.69154398001765e-08,11.4123761250398,"Up"
"FAM241A",0.930600363024178,8.74551549701493,6.79236626687922,1.33231925309364e-09,1.6928602333051e-08,11.4110558835473,"Not Sig"
"LPAR5",-0.640234845995758,7.43649462070653,-6.79042269103169,1.34407202343818e-09,1.706826945893e-08,11.4024301581582,"Not Sig"
"HIF1A",0.668101045100936,12.598262420828,6.78767407293699,1.36086851633844e-09,1.72717922161302e-08,11.3902328542988,"Not Sig"
"PPP1R3B",-0.863452741129876,7.34692170820042,-6.78672831495221,1.3666959187976e-09,1.73359467054265e-08,11.3860362866334,"Not Sig"
"SEC13",0.406135163925825,11.3750305710754,6.78622168848274,1.36982772704225e-09,1.73658555746334e-08,11.3837883284472,"Not Sig"
"BOK",0.911079494201959,7.34344452956106,6.78376019206223,1.38514548104946e-09,1.7550129559158e-08,11.3728671070308,"Not Sig"
"VNN1",2.68914280045404,7.02560161671007,6.78360266758386,1.38613150760703e-09,1.7552711568394e-08,11.3721682392436,"Up"
"ZNF91",-0.544354793133829,6.68783309323744,-6.78152420689101,1.39920700353033e-09,1.77082943892933e-08,11.3629474647913,"Not Sig"
"TMED4",-0.256365276848479,7.50389805922131,-6.77949805059407,1.41207112767488e-09,1.78610282040004e-08,11.3539595441755,"Not Sig"
"CANX",-0.453852489993118,9.14600877097243,-6.77897483938636,1.41541201291088e-09,1.78932000888491e-08,11.3516387378929,"Not Sig"
"PRIM2BP",-0.75704314916799,6.10561827733531,-6.77797972814677,1.42178778119487e-09,1.7963680192698e-08,11.3472248741333,"Not Sig"
"EGFL7",0.521994662690421,6.76708789909245,6.77647365388389,1.43149152425472e-09,1.80761048467932e-08,11.3405449784795,"Not Sig"
"ARSA",0.479629360856436,6.55946272599248,6.77395377370314,1.44787431316891e-09,1.82726950017982e-08,11.3293695415673,"Not Sig"
"TAGLN2P1",0.441794040657239,12.0160181832336,6.77247857176548,1.45755132197963e-09,1.83844823574485e-08,11.322827735314,"Not Sig"
"NLRC5",0.934306052065589,8.74187401648054,6.77082221216292,1.46849310566635e-09,1.85120880887906e-08,11.3154830923967,"Not Sig"
"ZNF124",-0.776421492261584,6.17112880629315,-6.76922718284929,1.47910668708097e-09,1.86354154696294e-08,11.3084109109459,"Not Sig"
"SLC45A4",0.576969476969973,7.91702782721421,6.76886377147764,1.48153550038456e-09,1.86555415786359e-08,11.3067996556661,"Not Sig"
"RCC1L",-0.31044909369008,5.87576721909748,-6.76753989455637,1.49041694148127e-09,1.87568512338184e-08,11.3009302088623,"Not Sig"
"ITPRID2",-0.77968022203947,8.86287222764279,-6.76717674611107,1.49286239124217e-09,1.87770959624905e-08,11.2993202400488,"Not Sig"
"ACKR1",1.5397754194161,7.91347398754551,6.76669320563999,1.49612473813638e-09,1.88075871143094e-08,11.297176570066,"Up"
"STX17",-0.304769709861723,7.53468894790609,-6.7644371586821,1.51143945953317e-09,1.89894681032838e-08,11.2871754933469,"Not Sig"
"AIMP2",-0.6067689344501,10.1652419299745,-6.76406271366497,1.51399629629972e-09,1.90109473378117e-08,11.2855156723885,"Not Sig"
"REC8",0.531477648893131,7.39149219685083,6.76245605494338,1.52501585430348e-09,1.91386078046509e-08,11.2783940711551,"Not Sig"
"CDC25B",1.21310237622643,9.47188539880226,6.75986992410305,1.54292049753634e-09,1.93524835350575e-08,11.2669319789747,"Up"
"PITPNA-AS1",0.674980969801833,7.60279402509388,6.7574773620463,1.55967047342055e-09,1.95516456721138e-08,11.2563289896151,"Not Sig"
"FPR3",-1.06556138077523,7.70662653362919,-6.7572290745798,1.56141898598059e-09,1.95626357489774e-08,11.2552287322844,"Down"
"MORN2",0.536497524378291,8.14942107089895,6.75426967715527,1.58241011170171e-09,1.98145650091934e-08,11.2421154446671,"Not Sig"
"UBA52",0.233893082149708,13.2488476949995,6.75352300343096,1.58775033589231e-09,1.98703456704337e-08,11.2388071581715,"Not Sig"
"WDR47",0.683678123067078,8.07762080179076,6.75256701344099,1.59461367598016e-09,1.99451149806682e-08,11.2345716160013,"Not Sig"
"CEP63",-0.254530771510867,6.58777075885326,-6.75174457947863,1.60054170132537e-09,2.00081087665961e-08,11.2309279431504,"Not Sig"
